id,category_title,short_category_title,nfr_code,source_name,activity_name
1,All,All,,,
2,Advanced Stove - All fuels,AdvStvAllFuels,,Domestic Closed Stove - Advanced,
3,Advanced Stove - All fuels excluding Ready To Burn,AdvStvAllFuelsExcRtb,,Domestic Closed Stove - Advanced,Anthracite; Coal; Coffee Logs; Coke; Peat; Petroleum coke; SSF;  Wood - Wet
4,Advanced Stove - All wood,AdvStvAllWd,,Domestic Closed Stove - Advanced,Wood - Wet; Wood - Dry; Wood - Seasoned; Wood Briquettes
5,Advanced Stove - Ready To Burn,AdvStvRtb,,Domestic Closed Stove - Advanced,Wood - Dry; Wood - Seasoned; Wood Briquettes
6,Advanced Stove - Wood excluding Ready To Burn,AdvStvWdExcRtb,,Domestic Closed Stove - Advanced,Wood - Wet
7,Basic Stove - All fuels,BasStvAllFuels,,Domestic Closed Stove - Basic,
8,Basic Stove - All fuels excluding Ready To Burn,BasStvAllFuelsExcRtb,,Domestic Closed Stove - Basic,Anthracite; Coal; Coffee Logs; Coke; Peat; Petroleum coke; SSF;  Wood - Wet
9,Basic Stove - All wood,BasStvAllWd,,Domestic Closed Stove - Basic,Wood - Wet; Wood - Dry; Wood - Seasoned; Wood Briquettes
10,Basic Stove - Ready To Burn,BasStvRtb,,Domestic Closed Stove - Basic,Wood - Dry; Wood - Seasoned; Wood Briquettes
11,Basic Stove - Wood excluding Ready To Burn,BasStvWdExcRtb,,Domestic Closed Stove - Basic,Wood - Wet
12,Cigarette smoking,CigSmo,,Cigarette smoking,
13,Domestic Combustion - Residential,DomComRes,1A4bi; 1A4bii,,
14,Domestic Outdoor - All,DomOutdoorAll,,Domestic Outdoor,
15,Domestic Outdoor - Charcoal,DomOutdoorChar,,Domestic Outdoor,Charcoal
16,Domestic Outdoor - Coal,DomOutdoorCoal,,Domestic Outdoor,Coal
17,Ecodesign Stove - All fuels,EcoStvAllFuels,,Domestic Closed Stove - EcoDesign,
18,Ecodesign Stove - All fuels excluding Ready To Burn,EcoStvAllFuelsExcRtb,,Domestic Closed Stove - EcoDesign,Anthracite; Coal; Coffee Logs; Coke; Peat; Petroleum coke; SSF;  Wood - Wet
19,Ecodesign Stove - All wood,EcoStvAllWd,,Domestic Closed Stove - EcoDesign,Wood - Wet; Wood - Dry; Wood - Seasoned; Wood Briquettes
