id,nfr_code,description
1,0,Not Included
2,1A1a,Public electricity and heat production
3,1A1b,Petroleum refining
4,1A1c,Manufacture of solid fuels and other energy industries
5,1A2a,Stationary combustion in manufacturing industries and construction: Iron and steel
6,1A2b,Stationary combustion in manufacturing industries and construction: Non-ferrous metals
7,1A2c,Stationary combustion in manufacturing industries and construction: Chemicals
8,1A2d,"Stationary combustion in manufacturing industries and construction: Pulp, Paper and Print"
9,1A2e,"Stationary combustion in manufacturing industries and construction: Food processing, beverages and tobacco"
10,1A2f,Stationary combustion in manufacturing industries and construction: Non-metallic minerals
11,1A2gvii,Mobile Combustion in manufacturing industries and construction: (please specify in the IIR)
12,1A2gviii,Stationary combustion in manufacturing industries and construction: Other (please specify in the IIR)
13,1A3ai(i),International aviation LTO (civil)
14,1A3aii(i),Domestic aviation LTO (civil)
15,1A3bi,Road transport: Passenger cars
16,1A3bii,Road transport: Light duty vehicles
17,1A3biii,Road transport: Heavy duty vehicles and buses
18,1A3biv,Road transport: Mopeds & motorcycles
19,1A3bv,Road transport: Gasoline evaporation
20,1A3bvi,Road transport: Automobile tyre and brake wear
21,1A3bvii,Road transport: Automobile road abrasion
22,1A3c,Railways
23,1A3di(ii),International inland waterways
24,1A3dii,National navigation (shipping)
25,1A3ei,Pipeline transport
26,1A3eii,Other (please specify in the IIR)
27,1A4ai,Commercial/institutional: Stationary
28,1A4aii,Commercial/institutional: Mobile
29,1A4bi,Residential: Stationary
30,1A4bii,Residential: Household and gardening (mobile)
31,1A4ci,Agriculture/Forestry/Fishing: Stationary
32,1A4cii,Agriculture/Forestry/Fishing: Off-road vehicles and other machinery
33,1A4ciii,Agriculture/Forestry/Fishing: National fishing
34,1A5a,Other stationary (including military)
35,1A5b,"Other, Mobile (including military, land based and recreational boats)"
36,1B1a,Fugitive emission from solid fuels: Coal mining and handling
37,1B1b,Fugitive emission from solid fuels: Solid fuel transformation
38,1B1c,Other fugitive emissions from solid fuels
39,1B2ai,"Fugitive emissions oil: Exploration, production, transport"
40,1B2aiv,Fugitive emissions oil: Refining / storage
41,1B2av,Distribution of oil products
42,1B2b,"Fugitive emissions from natural gas (exploration, production, processing, transmission, storage, distribution and other)"
43,1B2c,"Venting and flaring (oil, gas, combined oil and gas)"
44,1B2d,Other fugitive emissions from energy production
45,2A1,Cement production
46,2A2,Lime production
47,2A3,Glass production
48,2A5a,Quarrying and mining of minerals other than coal
49,2A5b,Construction and demolition
50,2A5c,"Storage, handling and transport of mineral products"
51,2A6,Other mineral products (please specify in the IIR)
52,2B1,Ammonia production
53,2B2,Nitric acid production
54,2B3,Adipic acid production
55,2B5,Carbide production
56,2B6,Titanium dioxide production
57,2B7,Soda ash production
58,2B10a,Chemical industry: Other  (please specify in the IIR)
59,2B10b,"Storage, handling and transport of chemical products (please specify in the IIR)"
60,2C1,Iron and steel production
61,2C2,Ferroalloys production
62,2C3,Aluminium production
63,2C4,Magnesium production
64,2C5,Lead production
65,2C6,Zinc production
66,2C7a,Copper production
67,2C7b,Nickel production
68,2C7c,Other metal production (please specify in the IIR)
69,2C7d,"Storage, handling and transport of metal products (please specify in the IIR)"
70,2D3a,Domestic solvent use including fungicides
71,2D3b,Road paving with asphalt
72,2D3c,Asphalt roofing
73,2D3d,Coating applications
74,2D3e,Degreasing
75,2D3f,Dry cleaning
76,2D3g,Chemical products
77,2D3h,Printing
78,2D3i,Other solvent use (please specify in the IIR)
79,2G,Other product use (please specify in the IIR)
80,2H1,Pulp and paper industry
81,2H2,Food and beverages industry
82,2H3,Other industrial processes (please specify in the IIR)
83,2I,Wood processing
84,2J,Production of POPs
85,2K,Consumption of POPs and heavy metals (e.g. electrical and scientific equipment)
86,2L,"Other production, consumption, storage, transportation or handling of bulk products (please specify in the IIR)"
87,3B1a,Manure management - Dairy cattle
88,3B1b,Manure management - Non-dairy cattle
89,3B2,Manure management - Sheep
90,3B3,Manure management - Swine
91,3B4a,Manure management - Buffalo
92,3B4d,Manure management - Goats
93,3B4e,Manure management - Horses
94,3B4f,Manure management - Mules and asses
95,3B4gi,Manure management -  Laying hens
96,3B4gii,Manure management -  Broilers
97,3B4giii,Manure management -  Turkeys
98,3B4giv,Manure management -  Other poultry
99,3B4h,Manure management - Other animals (please specify in IIR)
100,3Da1,Inorganic N-fertilizers (includes also urea application)
101,3Da2a,Animal manure applied to soils
102,3Da2b,Sewage sludge  applied to soils
103,3Da2c,Other organic fertilisers applied to soils (including compost)
104,3Da3,Urine and dung deposited by grazing animals
105,3Da4,Crop residues applied to soils
106,3Db,Indirect emissions from managed soils
107,3Dc,"Farm-level agricultural operations including storage, handling and transport of agricultural products"
108,3Dd,"Off-farm storage, handling and transport of bulk agricultural products"
109,3De,Cultivated crops
110,3Df,Use of pesticides
111,3F,Field burning of agricultural residues
112,3I,Agriculture other (please specify in the IIR)
113,5A,Biological treatment of waste - Solid waste disposal on land
114,5B1,Biological treatment of waste - Composting
115,5B2,Biological treatment of waste - Anaerobic digestion at biogas facilities
116,5C1a,Municipal waste incineration
117,5C1bi,Industrial waste incineration
118,5C1bii,Hazardous waste incineration
119,5C1biii,Clinical waste incineration
120,5C1biv,Sewage sludge incineration
121,5C1bv,Cremation
122,5C1bvi,Other waste incineration (please specify in the IIR)
123,5C2,Open burning of waste
124,5D1,Domestic wastewater handling
125,5D2,Industrial wastewater handling
126,5D3,Other wastewater handling
127,5E,Other waste (please specify in IIR)
128,6A,Other (included in national total for entire territory) (please specify in IIR)
129,z_1A3ai(ii),International aviation cruise (civil)
130,z_1A3aii(ii),Domestic aviation cruise (civil)
131,z_1A3di(i),International maritime navigation
132,z_1A5c,Multilateral operations
133,z_1A3,Transport (fuel used)
